Ticket	Symbol	Direction	Module	Lots	EntryPrice	ExitPrice	SL	TP	Profit	Pips	Won	AI_Conf	AI_Signal	RV	ADX	ADR%	Hist	OpenTime	CloseTime	
37776075	EURNZD+	BUY	STD	0.01	1.99354	1.99403	1.99404	1.99985	0.21	4.9	true	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 10:43	PRP_STD_2026.06.17 08:00[sl]
37776073	EURCAD+	BUY	STD	0.01	1.62521	1.62521	1.62521	1.62866	-0.04	0.0	false	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 10:26	PRP_STD_2026.06.17 08:00[sl]
37776076	EURAUD+	BUY	STD	0.01	1.64444	1.64423	1.64425	1.64824	-0.17	-2.1	false	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 09:45	PRP_STD_2026.06.17 08:00[sl]
37776077	GBPNZD+	BUY	STD	0.01	2.30575	2.30634	2.30223	2.31279	0.25	5.9	true	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 11:36	PRP_STD_2026.06.17 08:00
37777966	GBPCAD+	BUY	STD	0.01	1.87840	1.87739	1.87741	1.88179	-0.66	-10.1	false	0		0.00	0.0	0.0		2026.06.17 09:30	2026.06.17 11:18	PRP_STD_2026.06.17 09:30[sl]
37776080	NZDJPY+	SELL	STD	0.01	93.356	93.205	93.356	92.966	0.77	15.1	true	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 12:11	PRP_STD_2026.06.17 08:00
37776071	CADJPY+	SELL	STD	0.01	114.512	114.471	114.483	114.272	0.18	4.1	true	0		0.00	0.0	0.0		2026.06.17 08:00	2026.06.17 12:11	PRP_STD_2026.06.17 08:00
37783293	EURUSD+	SELL	STD	0.01	1.16021	1.15971	1.15971	1.15729	0.39	5.0	true	0		0.00	0.0	0.0		2026.06.17 13:00	2026.06.17 15:23	PRP_STD_2026.06.17 13:00[sl]
37783295	AUDUSD+	SELL	STD	0.01	0.70607	0.70603	0.70603	0.70330	-0.01	0.4	false	0		0.00	0.0	0.0		2026.06.17 13:00	2026.06.17 14:40	PRP_STD_2026.06.17 13:00[sl]
37790492	NZDJPY+	BUY	REV	0.01	93.237	93.185	93.185	93.341	-0.32	-5.2	false	0		0.00	0.0	0.0		2026.06.17 16:49	2026.06.17 17:00	PRP_REV_2026.06.17 16:49[sl]
37783289	USDCAD+	BUY	STD	0.01	1.40031	1.40080	1.40080	1.40258	0.26	4.9	true	0		0.00	0.0	0.0		2026.06.17 13:00	2026.06.17 16:50	PRP_STD_2026.06.17 13:00[sl]
37783296	NZDUSD+	SELL	STD	0.01	0.58152	0.58193	0.58193	0.57912	-0.40	-4.1	false	0		0.00	0.0	0.0		2026.06.17 13:00	2026.06.17 16:49	PRP_STD_2026.06.17 13:00[sl]
37786332	AUDUSD+	SELL	STD	0.01	0.70594	0.70693	0.70693	0.70316	-0.89	-9.9	false	0		0.00	0.0	0.0		2026.06.17 14:45	2026.06.17 16:23	PRP_STD_2026.06.17 14:45[sl]
37783288	GBPUSD+	SELL	STD	0.01	1.34158	1.34108	1.34108	1.33821	0.39	5.0	true	0		0.00	0.0	0.0		2026.06.17 13:00	2026.06.17 15:28	PRP_STD_2026.06.17 13:00[sl]
37788936	AUDCAD+	BUY	STD	0.01	0.98974	0.98983	0.98983	0.99238	0.02	0.9	true	0		0.00	0.0	0.0		2026.06.17 16:00	2026.06.17 17:47	PRP_STD_2026.06.17 16:00[sl]
37790865	NZDJPY+	BUY	REV	0.01	93.215	93.211	93.211	93.359	-0.06	-0.4	false	0		0.00	0.0	0.0		2026.06.17 17:00	2026.06.17 17:47	PRP_REV_2026.06.17 17:00[sl]
37797990	GBPAUD+	BUY	REV	0.01	1.89530	1.89418	1.89420	1.89735	-0.73	-11.2	false	0		-33.82	43.9	100.0	RED_DARK	2026.06.17 21:00	2026.06.17 21:01	PRP_REV_2026.06.17 21:00[sl]
37799749	GBPAUD+	BUY	REV	0.01	1.89558	1.89452	1.89457	1.89760	-0.69	-10.6	false	0		-30.53	38.5	100.0	RED_DARK	2026.06.17 21:15	2026.06.17 21:19	PRP_REV_2026.06.17 21:15[sl]
37795532	AUDCAD+	SELL	REV	0.01	0.99188	0.99049	0.99136	0.99049	0.82	13.9	true	0		0.00	0.0	0.0		2026.06.17 19:05	2026.06.17 21:00	PRP_REV_2026.06.17 19:05[tp]
37795857	GBPJPY+	BUY	REV	0.01	214.591	214.690	214.690	214.869	0.49	9.9	true	0		0.00	0.0	0.0		2026.06.17 19:22	2026.06.17 21:00	PRP_REV_2026.06.17 19:22[sl]
37795533	GBPAUD+	BUY	REV	0.01	1.89461	1.89349	1.89353	1.89650	-0.73	-11.2	false	0		0.00	0.0	0.0		2026.06.17 19:05	2026.06.17 20:40	PRP_REV_2026.06.17 19:05[sl]
37801680	USDCAD+	SELL	REV	0.01	1.40508	1.40604	1.40604	1.40342	-0.63	-9.6	false	0		0.00	0.0	0.0		2026.06.17 21:45	2026.06.17 21:55	PRP_REV_2026.06.17 21:45[sl]
37796447	CADJPY+	BUY	REV	0.01	114.194	114.116	114.116	114.350	-0.47	-7.8	false	0		0.00	0.0	0.0		2026.06.17 20:00	2026.06.17 21:33	PRP_REV_2026.06.17 20:00[sl]
37806041	AUDNZD+	SELL	REV	0.01	1.21640	1.21602	1.21601	1.21506	0.15	3.8	true	0		0.00	0.0	0.0		2026.06.17 22:30	2026.06.17 22:41	PRP_REV_2026.06.17 22:30[sl]
37808177	GBPUSD+	BUY	REV	0.01	1.32825	1.32746	1.32875	1.33404	-0.75	-7.9	false	0		0.00	0.0	0.0		2026.06.17 23:16	2026.06.18 00:04	PRP_REV_2026.06.17 23:16[sl]
37799746	AUDCAD+	SELL	REV	0.01	0.99006	0.98977	0.98956	0.00000	-0.02	2.9	false	0		0.00	0.0	0.0		2026.06.17 21:15	2026.06.18 00:02	PRP_REV_2026.06.17 21:15[sl]
37806044	GBPAUD+	BUY	REV	0.01	1.89528	1.89308	1.89341	1.89941	-1.57	-22.0	false	0		0.00	0.0	0.0		2026.06.17 22:30	2026.06.18 00:02	PRP_REV_2026.06.17 22:30[sl]
37807685	USDCAD+	SELL	REV	0.01	1.41141	1.41091	1.41091	1.40636	0.13	5.0	true	0		0.00	0.0	0.0		2026.06.17 23:00	2026.06.18 00:56	PRP_REV_2026.06.17 23:00[sl]
37807690	EURJPY+	BUY	REV	0.01	184.781	184.875	184.876	185.284	0.49	9.4	true	0		0.00	0.0	0.0		2026.06.17 23:00	2026.06.18 03:15	PRP_REV_2026.06.17 23:00[sl]
37808176	EURUSD+	BUY	REV	0.01	1.14917	1.15141	1.15141	1.15424	1.73	22.4	true	0		0.00	0.0	0.0		2026.06.17 23:16	2026.06.18 03:02	PRP_REV_2026.06.17 23:16[sl]
37807688	AUDUSD+	BUY	REV	0.01	0.70107	0.70223	0.70225	0.70426	0.99	11.6	true	0		0.00	0.0	0.0		2026.06.17 23:00	2026.06.18 03:55	PRP_REV_2026.06.17 23:00[sl]
37808451	NZDJPY+	BUY	REV	0.01	92.695	93.068	92.874	93.068	1.99	37.3	true	0		0.00	0.0	0.0		2026.06.17 23:45	2026.06.18 05:41	PRP_REV_2026.06.17 23:45[tp]
37818005	GBPAUD+	SELL	STD	0.01	1.89185	1.89312	1.89309	1.88765	-0.81	-12.7	false	0		-24.46	33.5	44.6	RED_LIGHT	2026.06.18 08:30	2026.06.18 09:05	PRP_STD_2026.06.18 08:30[sl]
37818004	EURAUD+	SELL	STD	0.01	1.63741	1.63849	1.63848	1.63410	-0.70	-10.8	false	0		-19.97	31.9	45.7	RED_LIGHT	2026.06.18 08:30	2026.06.18 09:12	PRP_STD_2026.06.18 08:30[sl]
37820523	GBPAUD+	SELL	STD	0.01	1.89163	1.89140	1.89378	1.88763	0.10	2.3	true	0		-19.98	23.5	44.6	RED_LIGHT	2026.06.18 10:00	2026.06.18 10:22	PRP_STD_2026.06.18 10:00
37826969	USDCHF+	SELL	REV	0.01	0.80224	0.80321	0.80313	0.80069	-1.09	-9.7	false	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 13:05	PRP_REV_2026.06.18 12:45[sl]
37826956	EURUSD+	BUY	REV	0.01	1.14815	1.14710	1.14710	1.15006	-0.96	-10.5	false	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 13:03	PRP_REV_2026.06.18 12:45[sl]
37825350	NZDUSD+	BUY	REV	0.01	0.57700	0.57638	0.57638	0.57838	-0.58	-6.2	false	0		0.00	0.0	0.0		2026.06.18 12:02	2026.06.18 13:01	PRP_REV_2026.06.18 12:02[sl]
37825351	AUDCHF+	SELL	REV	0.01	0.56257	0.56308	0.56308	0.56155	-0.60	-5.1	false	0		0.00	0.0	0.0		2026.06.18 12:02	2026.06.18 12:44	PRP_REV_2026.06.18 12:02[sl]
37820521	EURAUD+	SELL	STD	0.01	1.63687	1.63646	1.63858	1.63647	0.21	4.1	true	0		0.00	0.0	0.0		2026.06.18 10:00	2026.06.18 12:20	PRP_STD_2026.06.18 10:00[tp]
37828062	AUDUSD+	BUY	REV	0.01	0.70118	0.70037	0.70037	0.70280	-0.75	-8.1	false	0		0.00	0.0	0.0		2026.06.18 13:15	2026.06.18 14:11	PRP_REV_2026.06.18 13:15[sl]
37828074	GBPAUD+	BUY	REV	0.01	1.88802	1.88657	1.88668	1.89070	-0.93	-14.5	false	0		0.00	0.0	0.0		2026.06.18 13:15	2026.06.18 14:04	PRP_REV_2026.06.18 13:15[sl]
37827511	GBPNZD+	BUY	REV	0.01	2.29670	2.29508	2.29508	2.29994	-0.86	-16.2	false	0		0.00	0.0	0.0		2026.06.18 13:02	2026.06.18 14:04	PRP_REV_2026.06.18 13:02[sl]
37826932	GBPUSD+	BUY	REV	0.01	1.32451	1.32294	1.32294	1.32778	-1.41	-15.7	false	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 13:06	PRP_REV_2026.06.18 12:45[sl]
37831242	NZDUSD+	BUY	REV	0.01	0.57587	0.57682	0.57682	0.57693	0.79	9.5	true	0		0.00	0.0	0.0		2026.06.18 14:55	2026.06.18 15:14	PRP_REV_2026.06.18 14:55[sl]
37827702	USDCAD+	SELL	REV	0.01	1.41316	1.41217	1.41217	1.41141	0.57	9.9	true	0		0.00	0.0	0.0		2026.06.18 13:06	2026.06.18 15:14	PRP_REV_2026.06.18 13:06[sl]
37828423	AUDCHF+	SELL	REV	0.01	0.56299	0.56355	0.56354	0.56189	-0.65	-5.6	false	0		0.00	0.0	0.0		2026.06.18 13:30	2026.06.18 14:51	PRP_REV_2026.06.18 13:30[sl]
37826972	CHFJPY+	BUY	REV	0.01	200.360	200.021	200.023	200.875	-1.88	-33.9	false	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 14:19	PRP_REV_2026.06.18 12:45[sl]
37827510	NZDUSD+	BUY	REV	0.01	0.57637	0.57572	0.57572	0.57779	-0.61	-6.5	false	0		0.00	0.0	0.0		2026.06.18 13:02	2026.06.18 14:17	PRP_REV_2026.06.18 13:02[sl]
37826971	GBPJPY+	BUY	REV	0.01	212.898	212.650	212.650	213.321	-1.38	-24.8	false	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 14:13	PRP_REV_2026.06.18 12:45[sl]
37831898	GBPAUD+	BUY	REV	0.01	1.88747	1.88594	1.88594	1.89053	-0.97	-15.3	false	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 15:50	PRP_REV_2026.06.18 15:15[sl]
37831894	NZDUSD+	BUY	REV	0.01	0.57687	0.57686	0.57687	0.57819	-0.05	-0.1	false	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 15:38	PRP_REV_2026.06.18 15:15[sl]
37830462	AUDUSD+	BUY	REV	0.01	0.70054	0.70138	0.70138	0.70209	0.69	8.4	true	0		0.00	0.0	0.0		2026.06.18 14:30	2026.06.18 15:33	PRP_REV_2026.06.18 14:30[sl]
37831241	EURUSD+	BUY	REV	0.01	1.14557	1.14798	1.14772	1.14798	2.06	24.1	true	0		0.00	0.0	0.0		2026.06.18 14:55	2026.06.18 15:21	PRP_REV_2026.06.18 14:55[tp]
37834802	NZDUSD+	BUY	REV	0.01	0.57697	0.57697	0.57697	0.57881	-0.04	0.0	false	0		0.00	0.0	0.0		2026.06.18 15:45	2026.06.18 17:10	PRP_REV_2026.06.18 15:45[sl]
37831892	GBPUSD+	BUY	REV	0.01	1.32354	1.32407	1.32407	1.32680	0.42	5.3	true	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 16:45	PRP_REV_2026.06.18 15:15[sl]
37832507	EURUSD+	BUY	REV	0.01	1.14711	1.14743	1.14743	1.14935	0.24	3.2	true	0		0.00	0.0	0.0		2026.06.18 15:30	2026.06.18 16:45	PRP_REV_2026.06.18 15:30[sl]
37834801	AUDUSD+	BUY	REV	0.01	0.70148	0.70304	0.70198	0.70304	1.32	15.6	true	0		0.00	0.0	0.0		2026.06.18 15:45	2026.06.18 16:39	PRP_REV_2026.06.18 15:45[tp]
37836973	CADCHF+	SELL	REV	0.01	0.56945	0.56879	0.56878	0.56844	0.67	6.6	true	0		0.00	0.0	0.0		2026.06.18 16:18	2026.06.18 16:39	PRP_REV_2026.06.18 16:18[sl]
37831893	USDCHF+	SELL	REV	0.01	0.80365	0.80453	0.80453	0.80189	-1.00	-8.8	false	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 16:21	PRP_REV_2026.06.18 15:15[sl]
37831897	CHFJPY+	BUY	REV	0.01	200.214	199.999	199.999	200.644	-1.21	-21.5	false	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 16:21	PRP_REV_2026.06.18 15:15[sl]
37831895	GBPJPY+	BUY	REV	0.01	212.961	213.011	213.011	213.455	0.23	5.0	true	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 18:09	PRP_REV_2026.06.18 15:15[sl]
37831899	GBPCAD+	BUY	REV	0.01	1.86897	1.86957	1.86957	1.87257	0.33	6.0	true	0		0.00	0.0	0.0		2026.06.18 15:15	2026.06.18 17:38	PRP_REV_2026.06.18 15:15[sl]
37826970	EURJPY+	BUY	REV	0.01	184.554	184.847	184.626	184.931	1.55	29.3	true	0		0.00	0.0	0.0		2026.06.18 12:45	2026.06.18 18:45	PRP_REV_2026.06.18 12:45
37860168	AUDUSD+	SELL	STD	0.01	0.69930	0.70029	0.70029	0.69697	-0.90	-9.9	false	0		-37.97	47.6	47.5	RED_LIGHT	2026.06.19 08:30	2026.06.19 08:54	PRP_STD_2026.06.19 08:30[sl]
37894844	EURNZD+	BUY	STD	0.01	2.00110	1.99983	1.99986	2.00503	-0.68	-12.7	false	0		9.65	24.5	48.3	GREEN_LIGHT	2026.06.22 11:30	2026.06.22 12:09	PRP_STD_2026.06.22 11:30[sl]
37894178	USDCHF+	BUY	STD	0.01	0.80863	0.80763	0.80763	0.81099	-1.12	-10.0	false	0		0.00	0.0	0.0		2026.06.22 11:00	2026.06.22 12:03	PRP_STD_2026.06.22 11:00[sl]
37894566	AUDUSD+	SELL	STD	0.01	0.69964	0.70064	0.70064	0.69767	-0.91	-10.0	false	0		-16.79	25.7	46.2	RED_LIGHT	2026.06.22 11:15	2026.06.22 14:06	PRP_STD_2026.06.22 11:15[sl]
37895914	NZDCAD+	SELL	STD	0.01	0.81191	0.81167	0.81166	0.80974	0.11	2.4	true	0		0.00	0.0	0.0		2026.06.22 12:15	2026.06.22 16:11	PRP_STD_2026.06.22 12:15[sl]
37900594	AUDUSD+	SELL	STD	0.01	0.70018	0.70118	0.70118	0.69860	-0.91	-10.0	false	0		0.00	0.0	0.0		2026.06.22 14:45	2026.06.22 15:24	PRP_STD_2026.06.22 14:45[sl]
37904233	AUDNZD+	BUY	STD	0.01	1.22300	1.22373	1.22200	1.22521	0.33	7.3	true	0		0.00	0.0	0.0		2026.06.22 16:15	2026.06.22 17:02	PRP_STD_2026.06.22 16:15
