ab_timestamp,feedback_timestamp,symbol,direction,module,lgbm_signal,lgbm_conf,gpt_signal,gpt_conf,agreement,outcome,pips,lgbm_right,gpt_right
2026-07-13T07:15:48.282013+00:00,2026-07-13T09:51:30.570631+00:00,GBPCAD,SELL,STD,SELL,37,HOLD,52,DIFF,WIN,9.8,SI,NO
2026-07-13T07:00:47.410643+00:00,2026-07-13T11:05:28.275973+00:00,GBPCAD,SELL,STD,SELL,15,SELL,52,SAME,WIN,4.5,SI,SI
